rank,id,title,rating,rating_count,comprehensive_score,kind,url,source_doulist_ids,source_doulists,crawled_at
64,1291858,鬼子来了,9.3,722524,91.73544,电影,https://movie.douban.com/subject/1291858/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
65,1293182,十二怒汉 12 Angry Men,9.4,585777,91.636792,电影,https://movie.douban.com/subject/1293182/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
66,1291572,指环王2：双塔奇兵 The Lord of the Rings: The Two Towers,9.2,866191,91.601467,电影,https://movie.douban.com/subject/1291572/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
67,1293839,罗马假日 Roman Holiday,9.1,1056023,91.542135,电影,https://movie.douban.com/subject/1293839/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
68,1864810,红楼梦,9.7,329595,91.480463,电视剧,https://movie.douban.com/subject/1864810/,172901 / 46375658 / 644440,9分电视剧 / 豆瓣五星电视剧（1/2） / 豆瓣电视剧排行榜,2026-08-09T16:52:13+08:00
69,1298624,闻香识女人 Scent of a Woman,9.1,1032681,91.394615,电影,https://movie.douban.com/subject/1298624/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
70,1299131,教父2 The Godfather: Part II,9.3,647598,90.990973,电影,https://movie.douban.com/subject/1299131/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
71,1301753,狮子王 The Lion King,9.1,970183,90.982584,动画电影 / 电影,https://movie.douban.com/subject/1301753/,223781 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分动画长片,2026-08-09T16:52:13+08:00
72,1291571,指环王1：护戒使者 The Lord of the Rings: The Fellowship of the Ring,9.1,970059,90.98174,电影,https://movie.douban.com/subject/1291571/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
73,1291843,黑客帝国 The Matrix,9.1,960639,90.917336,电影,https://movie.douban.com/subject/1291843/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
74,30181230,我们与恶的距离 我們與惡的距離,9.4,526807,90.904668,电视剧,https://movie.douban.com/subject/30181230/,46375658 / 644440,9分电视剧 / 豆瓣电视剧排行榜,2026-08-09T16:52:13+08:00
75,1418019,大闹天宫,9.4,515479,90.754678,动画电影 / 电影,https://movie.douban.com/subject/1418019/,223781 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分动画长片,2026-08-09T16:52:13+08:00
76,1291828,天堂电影院 Nuovo Cinema Paradiso,9.2,747592,90.614905,电影,https://movie.douban.com/subject/1291828/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
77,1485260,本杰明·巴顿奇事 The Curious Case of Benjamin Button,9.0,1114686,90.506542,电影,https://movie.douban.com/subject/1485260/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
78,1291818,饮食男女 飲食男女,9.2,734685,90.498221,电影,https://movie.douban.com/subject/1291818/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
79,3314870,潜伏,9.5,407904,90.43151,国产剧 / 悬疑剧 / 电视剧,https://movie.douban.com/subject/3314870/,137843346 / 146202362 / 172901 / 46375658 / 644440,9分电视剧 / 豆瓣五星电视剧（1/2） / 豆瓣电视剧排行榜 / 豆瓣高分国产剧 / 豆瓣高分悬疑探案剧,2026-08-09T16:52:13+08:00
80,1291543,功夫,8.9,1357961,90.377567,电影,https://movie.douban.com/subject/1291543/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
81,1292220,情书 Love Letter,8.9,1339690,90.290872,电影,https://movie.douban.com/subject/1292220/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
82,1306029,美丽心灵 A Beautiful Mind,9.1,859547,90.183461,电影,https://movie.douban.com/subject/1306029/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
83,33447642,沉默的真相,9.0,1054568,90.146171,国产剧 / 悬疑剧 / 电视剧,https://movie.douban.com/subject/33447642/,137843346 / 146202362 / 46375658 / 644440,9分电视剧 / 豆瓣电视剧排行榜 / 豆瓣高分国产剧 / 豆瓣高分悬疑探案剧,2026-08-09T16:52:13+08:00
84,30228394,觉醒年代,9.3,564230,90.053877,国产剧 / 电视剧,https://movie.douban.com/subject/30228394/,146202362 / 46375658,豆瓣电视剧排行榜 / 豆瓣高分国产剧,2026-08-09T16:52:13+08:00
85,2156528,生活大爆炸  第一季 The Big Bang Theory Season 1,9.5,383485,89.99939,电视剧,https://movie.douban.com/subject/2156528/,172901 / 46375658 / 644440,9分电视剧 / 豆瓣五星电视剧（1/2） / 豆瓣电视剧排行榜,2026-08-09T16:52:13+08:00
86,1652587,阿凡达 Avatar,8.8,1598514,89.992886,电影,https://movie.douban.com/subject/1652587/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
87,7054120,黑镜 第一季 Black Mirror Season 1,9.4,456803,89.920852,电视剧,https://movie.douban.com/subject/7054120/,430230 / 46375658,豆瓣五星电视剧（2/2） / 豆瓣电视剧排行榜,2026-08-09T16:52:13+08:00
88,27010768,寄生虫 기생충,8.8,1563877,89.854875,电影,https://movie.douban.com/subject/27010768/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
89,21937445,辩护人 변호인,9.2,662537,89.805672,电影,https://movie.douban.com/subject/21937445/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
90,36154853,好东西,8.9,1237609,89.783628,电影,https://movie.douban.com/subject/36154853/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
91,6952149,绝命毒师  第五季 Breaking Bad Season 5,9.7,259289,89.75303,电视剧,https://movie.douban.com/subject/6952149/,46375658 / 644440,9分电视剧 / 豆瓣电视剧排行榜,2026-08-09T16:52:13+08:00
92,1292000,搏击俱乐部 Fight Club,9.0,988099,89.722998,电影,https://movie.douban.com/subject/1292000/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
93,3011235,哈利·波特与死亡圣器(下) Harry Potter and the Deathly Hallows: Part 2,9.0,981112,89.676872,电影,https://movie.douban.com/subject/3011235/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
94,3008247,穿条纹睡衣的男孩 The Boy in the Striped Pajamas,9.2,647573,89.652612,电影,https://movie.douban.com/subject/3008247/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
95,33464863,机智医生生活 슬기로운 의사생활,9.5,360285,89.562555,电视剧,https://movie.douban.com/subject/33464863/,46375658 / 644440,9分电视剧 / 豆瓣电视剧排行榜,2026-08-09T16:52:13+08:00
96,1900841,窃听风暴 Das Leben der Anderen,9.2,637701,89.549686,电影,https://movie.douban.com/subject/1900841/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
97,36156235,重启人生 ブラッシュアップライフ,9.4,429238,89.491391,日剧 / 电视剧,https://movie.douban.com/subject/36156235/,156283469 / 46375658,豆瓣电视剧排行榜 / 豆瓣高分日剧,2026-08-09T16:52:13+08:00
98,1998799,灌篮高手 スラムダンク,9.7,249785,89.484162,动画剧集,https://movie.douban.com/subject/1998799/,225067,豆瓣五星动画剧集,2026-08-09T16:52:13+08:00
99,11537954,瑞克和莫蒂 第一季 Rick and Morty Season 1,9.7,249498,89.475884,动画剧集 / 电视剧,https://movie.douban.com/subject/11537954/,225067 / 46375658 / 644440,9分电视剧 / 豆瓣五星动画剧集 / 豆瓣电视剧排行榜,2026-08-09T16:52:13+08:00
